i,j,x,y
19,7,0.7259873172664222,-0.5735558177058646
19,8,0.745623481849889,-0.6787536767321622
19,9,0.7700767060379718,-0.7956392254686322
19,10,0.7996216702127911,-0.9262606538964995
19,11,0.834676550875732,-1.0729047024870904
19,12,0.8757907789391987,-1.2381391020958947
19,13,0.9236428300548793,-1.424859893757897
19,14,0.9790448288133655,-1.6363446028251187
19,15,1.042952243598829,-1.8763124225677854
19,16,1.1164777757609659,-2.148992738812518
19,17,1.2009090164903249,-2.4592035440399944
19,18,1.297729715839902,-2.812441574091221
19,19,1.4086446592416935,-3.214986380518445
19,20,1.5356082129864246,-3.6740210627026952
19,21,1.6808565913526974,-4.197773078552783
19,22,1.8469438063614314,-4.7956795088302036
19,23,2.036781062208564,-5.478582483448711
19,24,2.253679012520659,-6.258962367760695
20,0,0.7138766022533451,-0.03494844110609247
20,1,0.6788056736202455,-0.10223489232570157
20,2,0.6594245997356519,-0.1716547732571927
20,3,0.6503602991084287,-0.24381182563971956
20,4,0.6482675265009804,-0.3199075135610474
20,5,0.6513202134483405,-0.40131964027934036
20,6,0.6585793612894852,-0.4895187581065498
20,7,0.6696061553296694,-0.5860774813453734
20,8,0.6842591434392028,-0.6927003371331799
20,9,0.7025905096452492,-0.8112583859495757
20,10,0.7247930293775235,-0.9438262146312739
20,11,0.7511736134059158,-1.0927216560115003
20,12,0.7821415890556914,-1.2605491527162167
20,13,0.8182057744202421,-1.450247827729211
20,14,0.8599772969951297,-1.6651454039787899
20,15,0.9081765754922246,-1.9090192106142079
20,16,0.9636436568920747,-2.186165653012001
20,17,1.02735152482861,-2.5014797236864568
20,18,1.1004222346578807,-2.860546408778457
20,19,1.184145863500527,-3.2697462220762623
20,20,1.2800023254254624,-3.7363776091183536
20,21,1.389686104203189,-4.268799658768228
20,22,1.5151338945642046,-4.87659951557796
20,23,1.6585550001866036,-5.570790217690488
20,24,1.8224640848421194,-6.364046569935099
21,0,0.6551192939419866,-0.04062987157336198
21,1,0.6235562459578109,-0.10894300759416932
21,2,0.6074809268939836,-0.1786735081276558
21,3,0.600136292271281,-0.2510354576954408
21,4,0.5981284655195668,-0.3274336007363959
21,5,0.5998431596628852,-0.4092998125646318
21,6,0.6045055234253032,-0.49811849887112514
21,7,0.6117602113007108,-0.5954685473672917
21,8,0.6214837319992341,-0.7030619729470853
21,9,0.6336964070867922,-0.8227808805767219
21,10,0.648519447309154,-0.9567151330994901
21,11,0.6661540325753122,-1.1072023498894246
21,12,0.6868719968167161,-1.276871500901468
21,13,0.7110131803437163,-1.4686912615384098
