i,j,x,y
14,8,1.7708203306042392,-1.9352657106408957
14,9,2.039478009618306,-2.3314698141051533
14,10,2.356795479383975,-2.782197968041873
14,11,2.7292212777567326,-3.295762255755897
14,12,3.1640102144334734,-3.881692240858481
14,13,3.6691131817722074,-4.55075401741018
14,14,4.248422093746636,-5.310304304567873
15,0,0.8895969217981812,-0.024959312866030578
15,1,0.8667404765859144,-0.19057549570426277
15,2,0.8921981056229373,-0.36815851967587027
15,3,0.9485332492309296,-0.5652131343855461
15,4,1.0312187044147487,-0.7863057011250589
15,5,1.140150195442012,-1.0356834372155075
15,6,1.2770690355688856,-1.3179332325745154
15,7,1.4448048197791221,-1.6382003116444852
15,8,1.6470155933033617,-2.0023340048336453
15,9,1.8881013887491922,-2.4170249170427276
15,10,2.1731898942562715,-2.8899459698493906
15,11,2.508150090385054,-3.4298956787279664
15,12,2.8995957636170577,-4.046922567090215
15,13,3.3547824067082916,-4.75233188313258
15,14,3.877295675230318,-5.553726129552175
16,0,0.8659836773957897,-0.029869200320355525
16,1,0.8432082024594904,-0.197312289844931
16,2,0.8607585052535004,-0.37845302870280784
16,3,0.9075231072742012,-0.5798646893674008
16,4,0.9787082640674352,-0.8064428314528467
16,5,1.0736816907995268,-1.0627885246297628
16,6,1.193700913679755,-1.3538278343922097
16,7,1.3411328923444712,-1.6850469348758033
16,8,1.5191587412959422,-2.062652282011383
16,9,1.7316633169356481,-2.4937173782483226
16,10,1.9832060236533646,-2.986329629863852
16,11,2.2790252711774204,-3.5497364890093634
16,12,2.6250381826173155,-4.194469264028222
16,13,3.0277473496331733,-4.9323407573009534
16,14,3.490422745252489,-5.771253919615439
17,0,0.83764778411292,-0.03557696084035882
17,1,0.8162122578870185,-0.2042957652674417
17,2,0.8265714086558879,-0.3885191171018999
17,3,0.8639586100441403,-0.5937451784285466
17,4,0.9236663957887946,-0.8250927193737916
17,5,1.0045670494398082,-1.0874767974978636
17,6,1.1074228664258454,-1.3861275645734297
17,7,1.2341178411420284,-1.7268343433234905
17,8,1.387330248994575,-2.116119982866624
17,9,1.5703982757034654,-2.5613976141230546
17,10,1.787275900869506,-3.071123740064209
17,11,2.0425283141234845,-3.6549478597889644
17,12,2.341328403133164,-4.323836859792229
17,13,2.6893753717553532,-5.090066701383167
17,14,3.0896070840005687,-5.961873459785445
18,0,0.8036447121734764,-0.04216838878229876
18,1,0.7846778888329642,-0.21162522848405602
18,2,0.7889940724884501,-0.3983695238717515
18,3,0.8174118363324734,-0.6068202155624658
18,4,0.8657926594834036,-0.8421913689386206
18,5,0.932601476775355,-1.1096628565040152
18,6,1.0181207264942467,-1.4147279278852143
18,7,1.1237476562758812,-1.7634360534507887
18,8,1.2516436825809854,-2.1625806209752736
18,9,1.4045786560337228,-2.6198656404482135
18,10,1.5858731021969221,-3.14406510499274
18,11,1.7993853474202253,-3.7451763884391585
18,12,2.049505477623672,-4.434546118619586
18,13,2.341087345513971,-5.224858723290425
18,14,2.676717479111411,-6.124695993772333
19,0,0.762841025846144,-0.049714215377791346
19,1,0.747320568375177,-0.21939203821654832
19,2,0.747224583866308,-0.4079970464284222
19,3,0.7673916779000258,-0.6190174189671119
19,4,0.8047733870266158,-0.857626845317384
19,5,0.8575929600113278,-1.1292082811411663
19,6,0.9257079341895627,-1.4394694321550332
19,7,1.0100472221342722,-1.79467138646534
19,8,1.1122556397201602,-2.201827597293337
19,9,1.234523931699398,-2.668879766062489
19,10,1.3795208063677875,-3.2048630282505446
19,11,1.5503734933173332,-3.820063051464244
19,12,1.7506601872894396,-4.526143965533517
19,13,1.98435671647802,-5.336136166080265
19,14,2.253679012520659,-6.258962367760695
20,0,0.7138766022533451,-0.05824740184348745
20,1,0.7026795867327903,-0.22764448839921947
20,2,0.7002849599243094,-0.4173492518396711
20,3,0.7133515360966287,-0.6302037942348006
20,4,0.7403008188004255,-0.8712222200805521
20,5,0.7793829558555112,-1.1459112374032736
20,6,0.8301444093213078,-1.4601334441789697
20,7,0.8930944834274316,-1.820306618380219
20,8,0.969379122388085,-2.233609546881414
20,9,1.0606113645663782,-2.7081649981167177
20,10,1.1687999086028995,-3.253209579733164
20,11,1.2963262425910358,-3.8792540234926567
20,12,1.4459371375439276,-4.598213392953483
20,13,1.6207071892663607,-5.42339610743633
20,14,1.8224640848421194,-6.364046569935099
21,0,0.6551192939419866,-0.06771645262226997
21,1,0.649245211873532,-0.23631841409357088
21,2,0.647106321453637,-0.42627406542615476
21,3,0.6547512190649097,-0.6401474876683698
21,4,0.6721250311430305,-0.8827118383272281
21,5,0.6978872185489138,-1.1594946656627343
21,6,0.7314675256858499,-1.4764391339909226
21,7,0.7730434818682563,-1.8400580209179327
21,8,0.8233003387322941,-2.2576374810570594
21,9,0.8832878687277088,-2.7374227741935147
21,10,0.9543568163791912,-3.288790654615981
21,11,1.0381376235037711,-3.9224118439269593
21,12,1.136535289680374,-4.650383410627757
21,13,1.2517090840734015,-5.486220581579856
21,14,1.3850832191256028,-6.43945864923615
